Provider_ID,Provider_Name,Specialty,Experience_Years
PR320,Provider_0,Oncology,8.0
PR013,Provider_1,Dermatology,29.0
PR138,Provider_2,Orthopedics,26.0
PR112,Provider_3,Oncology,10.0
PR369,Provider_4,General Practice,26.0
PR339,Provider_5,Emergency Medicine,
PR447,Provider_6,Orthopedics,19.0
PR044,Provider_7,Orthopedics,9.0
PR211,Provider_8,Oncology,7.0
PR015,Provider_9,,4.0
PR110,Provider_10,General Practice,26.0
PR253,Provider_11,Oncology,21.0
PR014,Provider_12,General Practice,18.0
PR100,Provider_13,General Practice,13.0
PR325,Provider_14,Emergency Medicine,11.0
PR273,Provider_15,Orthopedics,29.0
PR111,Provider_16,Dermatology,24.0
PR295,Provider_17,Emergency Medicine,4.0
PR405,Provider_18,Emergency Medicine,25.0
PR004,Provider_19,General Practice,21.0
PR403,Provider_20,Neurology,29.0
PR350,Provider_21,Orthopedics,25.0
PR171,Provider_22,Pediatrics,4.0
PR078,Provider_23,Emergency Medicine,10.0
PR479,Provider_24,Dermatology,5.0
PR169,Provider_25,Neurology,9.0
PR047,Provider_26,Neurology,24.0
PR049,Provider_27,Pediatrics,3.0
PR424,Provider_28,Emergency Medicine,17.0
PR302,Provider_29,Dermatology,3.0
PR404,Provider_30,Orthopedics,16.0
PR365,Provider_31,Cardiology,4.0
PR269,Provider_32,Dermatology,18.0
PR487,Provider_33,Pediatrics,17.0
PR190,Provider_34,,7.0
PR277,Provider_35,,24.0
PR415,Provider_36,Dermatology,23.0
PR310,Provider_37,Cardiology,5.0
PR431,Provider_38,Cardiology,12.0
PR289,Provider_39,General Practice,17.0
PR353,Provider_40,General Practice,23.0
PR023,Provider_41,Oncology,13.0
PR114,Provider_42,,23.0
PR145,Provider_43,Emergency Medicine,25.0
PR040,Provider_44,Dermatology,
PR117,Provider_45,Dermatology,9.0
PR051,Provider_46,Emergency Medicine,17.0
PR139,Provider_47,,17.0
PR318,Provider_48,Neurology,20.0
PR183,Provider_49,Neurology,16.0
PR186,Provider_50,Oncology,25.0
PR105,Provider_51,Neurology,22.0
PR134,Provider_52,General Practice,13.0
PR469,Provider_53,Dermatology,
PR325,Provider_54,Oncology,19.0
PR305,Provider_55,Dermatology,17.0
PR086,Provider_56,Emergency Medicine,
PR365,Provider_57,Cardiology,12.0
PR082,Provider_58,General Practice,29.0
PR190,Provider_59,Orthopedics,9.0
PR495,Provider_60,General Practice,19.0
PR320,Provider_61,Oncology,12.0
PR279,Provider_62,Orthopedics,9.0
PR343,Provider_63,Cardiology,7.0
PR422,Provider_64,Oncology,28.0
PR388,Provider_65,Pediatrics,14.0
PR115,Provider_66,Dermatology,20.0
PR017,Provider_67,Cardiology,19.0
PR158,Provider_68,Dermatology,26.0
PR134,Provider_69,Neurology,15.0
PR106,Provider_70,,
PR472,Provider_71,Pediatrics,21.0
PR439,Provider_72,Cardiology,5.0
PR158,Provider_73,Pediatrics,3.0
PR328,Provider_74,Orthopedics,12.0
PR198,Provider_75,Pediatrics,25.0
PR458,Provider_76,Dermatology,20.0
PR230,Provider_77,Dermatology,27.0
PR133,Provider_78,Oncology,21.0
PR124,Provider_79,Dermatology,4.0
PR281,Provider_80,Oncology,21.0
PR132,Provider_81,Dermatology,23.0
PR293,Provider_82,Orthopedics,16.0
PR449,Provider_83,Emergency Medicine,25.0
PR200,Provider_84,Oncology,7.0
PR110,Provider_85,General Practice,13.0
PR499,Provider_86,Neurology,21.0
PR255,Provider_87,Cardiology,10.0
PR046,Provider_88,Dermatology,26.0
PR024,Provider_89,Pediatrics,7.0
PR055,Provider_90,,14.0
PR314,Provider_91,Dermatology,26.0
PR397,Provider_92,Pediatrics,5.0
PR212,Provider_93,Neurology,3.0
PR032,Provider_94,Neurology,23.0
PR191,Provider_95,Neurology,29.0
PR499,Provider_96,Pediatrics,11.0
PR265,Provider_97,Dermatology,11.0
PR486,Provider_98,Neurology,18.0
PR431,Provider_99,Orthopedics,15.0
PR006,Provider_100,Oncology,12.0
PR361,Provider_101,Pediatrics,9.0
PR341,Provider_102,Pediatrics,10.0
PR269,Provider_103,Dermatology,26.0
PR134,Provider_104,Pediatrics,12.0
PR321,Provider_105,Pediatrics,17.0
PR056,Provider_106,Neurology,29.0
PR218,Provider_107,Dermatology,6.0
PR227,Provider_108,Neurology,7.0
